date,name,value
2020-12-05,imara daima,7
2020-12-05,kawangware,1
2020-12-05,vihiga,4
2020-12-05,kahawa west,1
2020-12-05,gatundu,1
2020-12-05,joyland,4
2020-12-05,naivasha,12
2020-12-05,south c,50
2020-12-05,kilimani,8
2020-12-05,muthiga,4
2020-12-05,gachie,5
2020-12-05,ukunda,3
2020-12-05,trm,1
2020-12-05,kabarnet,1
2020-12-05,kinoo,16
2020-12-05,ruai,1
2020-12-05,isiolo,1
2020-12-05,mtwapa,5
2020-12-05,thogoto,2
2020-12-05,fedha,3
2020-12-05,riverside,8
2020-12-05,kasarani,68
2020-12-05,ndenderu,2
2020-12-05,jamhuri estate,1
2020-12-05,manyatta,2
2020-12-05,muranga,4
2020-12-05,kingeero,2
2020-12-05,komarock,7
2020-12-05,garissa,2
2020-12-05,pipeline,3
2020-12-05,ruaka,72
2020-12-05,kabiria,2
2020-12-05,kariobangi south,4
2020-12-05,ngumo,8
2020-12-05,nairobi west,23
2020-12-05,kenol,3
2020-12-05,donholm,7
2020-12-05,ruiru,37
2020-12-05,siaya,6
2020-12-05,bamburi,2
2020-12-05,ngong town,3
2020-12-05,kajiado,1
2020-12-05,umoja 1,1
2020-12-05,eldoret,2
2020-12-05,upperhill,6
2020-12-05,pangani,2
2020-12-05,karen,6
2020-12-05,bungoma,3
2020-12-05,kirigiti,3
2020-12-05,lower kabete,8
2020-12-05,akiba,2
2020-12-05,muchatha,2
2020-12-05,kahawa wendani,4
2020-12-05,kitengela,8
2020-12-05,lucky summer,17
2020-12-05,wangige,8
2020-12-05,denis pritt,2
2020-12-05,migori,4
2020-12-05,athiriver,1
2020-12-05,loresho,1
2020-12-05,nanyuki,2
2020-12-05,rosslyn,3
2020-12-05,gikambura,3
2020-12-05,westlands,3
2020-12-05,nyayo estate,3
2020-12-05,lodwar,1
2020-12-05,nyali,7
2020-12-05,kakamega,1
2020-12-05,kileleshwa,13
2020-12-05,kikuyu,9
2020-12-05,kondele,1
2020-12-05,kangemi,12
2020-12-05,highrise,5
2020-12-05,nakuru,9
2020-12-05,nyamira,4
2020-12-05,waithaka,3
2020-12-05,membley,2
2020-12-05,bomet,1
2020-12-05,rongai,7
2020-12-05,riara road,1
2020-12-05,usiu,4
2020-12-05,nrb west,2
2020-12-05,ngara,3
2020-12-05,ongata rongai,2
2020-12-05,githurai 44,1
2020-12-05,syokimau,4
2020-12-05,riruta,3
2020-12-05,shanzu,2
2020-12-05,langata,7
2020-12-05,katani,4
2020-12-05,utawala,6
2020-12-05,uthiru,14
2020-12-05,kayole,11
2020-12-05,stage mpya,3
2020-12-05,runyenjes,1
2020-12-05,dagoretti corner,1
2020-12-05,tassia,7
2020-12-05,limuru,17
2020-12-05,parklands,1
2020-12-05,webuye,1
2020-12-05,zimmerman,2
2020-12-05,juja,23
2020-12-05,buruburu phase 1,2
2020-12-05,buru,1
2020-12-06,langata,7
2020-12-06,eldoret,3
2020-12-06,kangemi,15
2020-12-06,kisii,12
2020-12-06,pipeline,4
2020-12-06,manyatta,2
2020-12-06,ngumo,8
2020-12-06,uthiru,22
2020-12-06,bungoma,5
2020-12-06,lower kabete,10
2020-12-06,ruaka,73
2020-12-06,kasarani,68
2020-12-06,lucky summer,17
2020-12-06,akiba,2
2020-12-06,muranga,6
2020-12-06,githurai 45,6
2020-12-06,isiolo,1
2020-12-06,loresho,2
2020-12-06,kikuyu,11
2020-12-06,vihiga,4
2020-12-06,imara daima,8
2020-12-06,kabiria,2
2020-12-06,embu,2
2020-12-06,mishomoroni,2
2020-12-06,kayole,11
2020-12-06,ngara,3
2020-12-06,mwimuto,2
2020-12-06,watamu,1
2020-12-06,pangani,2
2020-12-06,homa bay,1
2020-12-06,oloitoktok road,2
2020-12-06,nyali,8
2020-12-06,membley,2
2020-12-06,huruma,1
2020-12-06,bomet,1
2020-12-06,jamhuri estate,1
2020-12-06,kitui,5
2020-12-06,wangige,9
2020-12-06,roysambu,5
2020-12-06,limuru,24
2020-12-06,buruburu phase 1,2
2020-12-06,ndenderu,2
2020-12-06,kirigiti,4
2020-12-06,kabarnet,1
2020-12-06,riara road,1
2020-12-06,nanyuki,6
2020-12-06,tassia,11
2020-12-06,denis pritt,3
2020-12-06,fedha,3
2020-12-06,canaan estate,1
2020-12-06,migori,6
2020-12-06,ngong,57
2020-12-06,buruburu,4
2020-12-06,bamburi,4
2020-12-06,eastleigh,2
2020-12-06,mountain view,1
2020-12-06,parklands,1
2020-12-06,madaraka,12
2020-12-06,juja,25
2020-12-06,umoja 1,1
2020-12-06,gatundu,2
2020-12-06,kabati,2
2020-12-06,kericho,2
2020-12-06,raphta road,1
2020-12-06,nyayo estate,4
2020-12-06,katani,4
2020-12-06,kakamega,2
2020-12-06,machakos,11
2020-12-06,highrise,5
2020-12-06,runyenjes,1
2020-12-06,rosslyn,3
2020-12-06,riruta,3
2020-12-06,gachie,5
